0.192692,10000,6
0.002941,1000000,6
16.108292,100000000,6
33.348561,200000000,6
65.995441,400000000,6
95.576092,500000000,6
0.002263,10000,12
0.098528,1000000,12
9.276186,100000000,12
21.111689,200000000,12
44.56861,400000000,12
58.581471,500000000,12
0.009258,10000,1
0.65028,1000000,1
58.497809,100000000,1
118.807035,200000000,1
239.856115,400000000,1
343.35737,500000000,1
0.009416,10000,2
0.663335,1000000,2
59.000563,100000000,2
119.094868,200000000,2
242.258588,400000000,2
346.974918,500000000,2
0.001701,10000,8
0.099096,1000000,8
9.584596,100000000,8
19.032451,200000000,8
38.22634,400000000,8
56.149039,500000000,8
0.004762,10000,4
0.628078,1000000,4
40.696768,100000000,4
58.833901,200000000,4
70.02652,400000000,4
97.190125,500000000,4
