0.454384,10000,6,4
0.715109,100000,6,4
28.221637,1000000,6,4
37.14946,5000000,6,4
98.085754,10000000,6,4
120.99612,50000000,6,4
0.155965,10000,2,4
0.39822,100000,2,4
26.253789,1000000,2,4
87.991856,5000000,2,4
121.626468,10000000,2,4
163.169313,50000000,2,4
0.086494,10000,2,2
0.392806,100000,2,2
40.628272,1000000,2,2
75.99091,5000000,2,2
167.730079,10000000,2,2
237.84916,50000000,2,2
0.037168,10000,4,1
0.420168,100000,4,1
23.53592,1000000,4,1
46.645206,5000000,4,1
81.709921,10000000,4,1
109.352602,50000000,4,1
0.168784,10000,4,2
0.528321,100000,4,2
24.544323,1000000,4,2
40.437105,5000000,4,2
91.07118,10000000,4,2
128.786993,50000000,4,2
0.370864,10000,8,4
0.551674,100000,8,4
12.210881,1000000,8,4
22.815809,5000000,8,4
61.379877,10000000,8,4
83.210521,50000000,8,4
0.115214,10000,6,1
0.33327,100000,6,1
22.550165,1000000,6,1
39.041119,5000000,6,1
84.054965,10000000,6,1
170.628472,50000000,6,1
0.170479,10000,12,1
0.465271,100000,12,1
12.6527,1000000,12,1
27.5077,5000000,12,1
53.294276,10000000,12,1
92.444866,50000000,12,1
0.608574,10000,12,2
1.103066,100000,12,2
25.120871,1000000,12,2
40.383033,5000000,12,2
72.87969,10000000,12,2
99.923164,50000000,12,2
0.234525,10000,4,4
0.538022,100000,4,4
25.039663,1000000,4,4
56.756911,5000000,4,4
99.992367,10000000,4,4
80.11089,50000000,4,4
0.002335,10000,2,1
0.334696,100000,2,1
35.622786,1000000,2,1
68.338257,5000000,2,1
154.724155,10000000,2,1
227.399871,50000000,2,1
0.094446,10000,8,1
0.323781,100000,8,1
16.872104,1000000,8,1
39.147273,5000000,8,1
97.296221,10000000,8,1
116.386158,50000000,8,1
0.542841,10000,6,2
23.688307,100000,6,2
0.085163,1000000,6,2
48.204245,5000000,6,2
122.121113,10000000,6,2
137.678751,50000000,6,2
0.40936,10000,8,2
0.569039,100000,8,2
15.435633,1000000,8,2
49.682218,5000000,8,2
89.816713,10000000,8,2
98.346707,50000000,8,2
0.607995,10000,1,4
0.135359,100000,1,4
59.064789,1000000,1,4
156.921937,5000000,1,4
230.451749,10000000,1,4
311.203351,50000000,1,4
0.825729,10000,1,2
0.081101,100000,1,2
79.221932,1000000,1,2
151.04453,5000000,1,2
300.505584,10000000,1,2
455.044125,50000000,1,2
1.278163,10000,12,4
1.129265,100000,12,4
18.215989,1000000,12,4
33.190171,5000000,12,4
45.742428,10000000,12,4
74.066702,50000000,12,4
0.004109,10000,1,1
0.653893,100000,1,1
75.291326,1000000,1,1
144.312183,5000000,1,1
289.342089,10000000,1,1
398.987305,50000000,1,1
